41455865,10/7/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/7/15,6/6/16,Cycle Inspection / Re-inspection
41534659,5/16/15,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,28,A,4/17/14,6/6/16,Cycle Inspection / Initial Inspection
50040674,9/30/15,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,25,A,1/28/15,6/6/16,Pre-permit (Operational) / Compliance Inspection
41135793,4/7/15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,19,B,3/11/14,6/6/16,Cycle Inspection / Initial Inspection
40815185,4/29/14,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,4/29/14,6/6/16,Cycle Inspection / Initial Inspection
40392984,9/16/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,68,A,1/25/13,6/6/16,Cycle Inspection / Initial Inspection
50044371,1/6/16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,,,6/6/16,Pre-permit (Operational) / Initial Inspection
41684638,10/26/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,10/26/15,6/6/16,Cycle Inspection / Initial Inspection
41457654,2/5/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,B,12/12/13,6/6/16,Cycle Inspection / Initial Inspection
50000732,4/8/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,A,12/4/12,6/6/16,Cycle Inspection / Initial Inspection
41718959,6/5/13,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,15,B,6/5/13,6/6/16,Pre-permit (Operational) / Re-inspection
40385555,6/11/14,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,19,A,2/5/15,6/6/16,Cycle Inspection / Initial Inspection
41276130,3/4/13,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,18,A,9/24/14,6/6/16,Administrative Miscellaneous / Initial Inspection
41382329,1/22/15,No violations were recorded at the time of this inspection.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Not Applicable,13,A,10/25/13,6/6/16,Administrative Miscellaneous / Initial Inspection
41681128,7/16/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,60,B,7/2/14,6/6/16,Cycle Inspection / Initial Inspection
41704354,3/24/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,3/24/15,6/6/16,Cycle Inspection / Re-inspection
41069598,9/10/13,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,16,B,9/10/13,6/6/16,Cycle Inspection / Re-inspection
41396658,4/28/15,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,8,A,4/28/15,6/6/16,Cycle Inspection / Initial Inspection
50033176,3/31/15,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,33,A,4/14/14,6/6/16,Trans Fat / Initial Inspection
41678642,2/1/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/1/16,6/6/16,Cycle Inspection / Re-inspection
41627325,9/24/14,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,4,A,9/24/14,6/6/16,Cycle Inspection / Re-inspection
50000941,11/25/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,1/15/16,6/6/16,Cycle Inspection / Initial Inspection
50000496,5/13/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,A,4/4/14,6/6/16,Cycle Inspection / Initial Inspection
50006080,7/15/15,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,15,B,7/15/15,6/6/16,Cycle Inspection / Re-inspection
40623604,6/3/15,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,27,A,2/1/16,6/6/16,Administrative Miscellaneous / Initial Inspection
50018394,1/4/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,B,4/23/15,6/6/16,Cycle Inspection / Initial Inspection
50008165,1/12/16,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,21,A,5/2/16,6/6/16,Cycle Inspection / Initial Inspection
41701501,4/6/16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,4/6/16,6/6/16,Cycle Inspection / Initial Inspection
50045017,2/5/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,39,A,10/2/14,6/6/16,Pre-permit (Operational) / Initial Inspection
41390570,12/16/15,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22,A,11/26/14,6/6/16,Cycle Inspection / Initial Inspection
50000341,6/24/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,28,B,1/31/13,6/6/16,Cycle Inspection / Initial Inspection
41596469,5/31/16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17,A,1/17/13,6/6/16,Cycle Inspection / Initial Inspection
40569448,2/12/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,B,2/12/14,6/6/16,Cycle Inspection / Re-inspection
40365454,3/10/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,3/10/16,6/6/16,Cycle Inspection / Re-inspection
41421031,8/14/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,B,8/14/15,6/6/16,Cycle Inspection / Re-inspection
40389455,1/27/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,1/27/14,6/6/16,Cycle Inspection / Re-inspection
41621476,5/10/14,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,2,B,2/25/13,6/6/16,Inter-Agency Task Force / Initial Inspection
41028080,3/19/15,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,3/19/15,6/6/16,Cycle Inspection / Re-inspection
50004337,1/14/16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,1/14/16,6/6/16,Cycle Inspection / Re-inspection
41577696,3/15/16,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,10,A,6/29/15,6/6/16,Administrative Miscellaneous / Compliance Inspection
41435352,9/16/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,A,7/15/14,6/6/16,Cycle Inspection / Initial Inspection
41632471,1/29/15,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,13,A,1/29/15,6/6/16,Cycle Inspection / Initial Inspection
50000804,5/12/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,36,A,9/1/15,6/6/16,Cycle Inspection / Initial Inspection
41428748,1/13/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,A,5/17/13,6/6/16,Cycle Inspection / Initial Inspection
40815637,7/30/13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,7/30/13,6/6/16,Cycle Inspection / Initial Inspection
41190515,1/15/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,B,12/5/13,6/6/16,Cycle Inspection / Initial Inspection
41502640,2/29/16,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,7,A,2/29/16,6/6/16,Cycle Inspection / Re-inspection
41699711,3/19/14,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,24,B,4/20/15,6/6/16,Cycle Inspection / Initial Inspection
40674475,7/30/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,B,10/2/13,6/6/16,Cycle Inspection / Initial Inspection
